PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura del neumático (perfil),Anchura del neumático,Categoría de neumático,Compuesto de neumático,Diámetro de la llanta,Estructura de neumático,Familia de neumáticos,Homologación,Índice de carga del neumático (IC),Índice de velocidad (CV),Marcajes,Modelo,Posición,Sin cámara o tipo de cámara,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,DeliveryPlant
9006445,,11140047,HEIDENAU,HEIDE TIRE K67 4.00-18,Neumático HEIDENAU K67 4.00-18 M/C 64T TT,174.85,144.50,89.59,4027694140474,0,4011400000,0,1,"<p><strong>La banda de rodadura y la goma</strong></p>
<p>Un neum&aacute;tico de trial cl&aacute;sico, ideal para ir por la calle, superficies rocosas, arrastrarse por una colina. El compuesto no es tan blando como el de algunos neum&aacute;ticos de competici&oacute;n, pero lo suficientemente blando como para adherirse al asfalto y no agrietarse.</p>
<p><strong>Aplicaciones</strong></p>
<p>Si tienes una scrambler de &eacute;poca, una moto de trial, o buscas salir a los senderos con una moto moderna.</p>","
La banda de rodadura y la goma

Un neumático de trial clásico, ideal para ir por la calle, superficies rocosas, arrastrarse por una colina. El compuesto no es tan blando como el de algunos neumáticos de competición, pero lo suficientemente blando como para adherirse al asfalto y no agrietarse.

Aplicaciones

Si tienes una scrambler de época, una moto de trial, o buscas salir a los senderos con una moto moderna.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE TR ON/OFF,50864,5540,680,680,110,,4.00,Trail on-off,,18,X-Ply,Neumáticos de motocicleta y scooter,,64,T < 190 km/h,,K67,Trasero,TT - Para cámara,https://api.mybihr.com/medias/800Wx800H-9006445-1.jpg?context=bWFzdGVyfHJvb3R8NDkxMjB8aW1hZ2UvanBlZ3xhR0U1TDJoa01pOHlPVGN6TnpRek56azROamcwTmk4NE1EQlhlRGd3TUVoZk9UQXdOalEwTlMweExtcHdad3wxYTdmYzFjOWQ4M2RiZDM4MDY4MzE1Y2FiMGEzOWQ4NzlkMGVmYTBhYjNlN2YzZGMyNDY5ODE2MjY3NzlkZjIx,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006421,,11140055,HEIDENAU,HEIDE TIRE K60 90/90-18,Neumático HEIDENAU K60 90/90-18 M/C 51S TT,126.45,104.50,64.79,4027694140559,1,4011400000,0,1,"<p><strong>Todo gira en torno al caucho</strong></p>
<p>Heidenau ha desarrollado un gran compuesto con un alto contenido de caucho natural. Esto hace que el neum&aacute;tico sea resistente y dure muchos kil&oacute;metros.</p>
<p><strong>Dise&ntilde;o de la banda de rodadura</strong></p>
<p>El patr&oacute;n de bloques interrumpidos del K60 hace que el neum&aacute;tico sea respetable fuera de la carretera y suave en la calle.</p>","
Todo gira en torno al caucho

Heidenau ha desarrollado un gran compuesto con un alto contenido de caucho natural. Esto hace que el neumático sea resistente y dure muchos kilómetros.

Diseño de la banda de rodadura

El patrón de bloques interrumpidos del K60 hace que el neumático sea respetable fuera de la carretera y suave en la calle.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE TR ON/OFF,38440,3570,620,620,100,90,90,Trail on-off,,18,X-Ply,Neumáticos de motocicleta y scooter,,51,S < 180 km/h,,K60,Delantero/trasero,TT - Para cámara,https://api.mybihr.com/medias/800Wx800H-9006421-1.jpg?context=bWFzdGVyfHJvb3R8NzczNDd8aW1hZ2UvanBlZ3xhR1ZqTDJoak5pOHlPVGN6TnpReU9EazBNamczT0M4NE1EQlhlRGd3TUVoZk9UQXdOalF5TVMweExtcHdad3wwYmQ0NTRhYWYxMTdjOWNmYWQ1NjlmZDBiN2Y3YTBmYjg3YzI0NGI2MGY3OTUzMDJiMWYwZTY1ODJhMjFlMzY0,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006385,,11140012,HEIDENAU,HEIDE TIRE K42 2.75-16,Neumático HEIDENAU K42 REINF 2.75-16 M/C 46M TT,67.76,56.00,34.72,4027694140122,0,4011400000,0,1,"<p><strong>La banda de rodadura y el caucho</strong></p>
<p>Un neum&aacute;tico Dual Sport para ciclomotores. Ideal para ir por la calle o por superficies no pavimentadas. El compuesto es lo suficientemente suave como para adherirse al asfalto pero durar&aacute; muchos kil&oacute;metros.</p>","
La banda de rodadura y el caucho

Un neumático Dual Sport para ciclomotores. Ideal para ir por la calle o por superficies no pavimentadas. El compuesto es lo suficientemente suave como para adherirse al asfalto pero durará muchos kilómetros.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE TR ON/OFF,23520,2320,560,560,75,,2.75,Trail on-off,,16,X-Ply,Neumáticos de motocicleta y scooter,,46,M < 130 km/h,,K42,Delantero/trasero,TT - Para cámara,https://api.mybihr.com/medias/800Wx800H-9006385-1.jpg?context=bWFzdGVyfHJvb3R8MTk5ODM0fGltYWdlL2pwZWd8YURjMkwyaGhaaTh5T1Rjek1qQTNNRFk0TmpjMU1DODRNREJYZURnd01FaGZPVEF3TmpNNE5TMHhMbXB3Wnd8YmZkYmU3YzRmNTZlMzI4OWQ3NzdhY2MxMmFiNDhkYTU0YWNiMzUzOTJiYzA4ZDcyMDUxNmM5NGQ2ZTJjZDNiNg,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006459,,11140110,HEIDENAU,HEIDE TIRE K60 RANGER 120/70 B 19,Neumático HEIDENAU K60 RANGER 120/70 B 19 M/C 60R TL,214.78,177.50,110.05,4027694141105,1,4011400000,0,1,"<p><strong>Ofreciendo el siguiente nivel</strong></p>
<p>Un neumático digno de estar al lado del legendario K60 Scout, el K60 Ranger está diseñado y desarrollado para ser el primo off-road de la familia K60. No se trata de un Scout con una banda de rodadura diferente. Heidenau empezó desde cero con una carcasa y un compuesto totalmente nuevos para maximizar el rendimiento fuera de la carretera.</p>
<p><strong>Diseño de la banda de rodadura</strong></p>
<p>El nuevo diseño de la banda de rodadura del K60 Ranger tiene en mente la suciedad y las motos grandes. Mientras que el diseño de bloque abierto debería evitar que la banda de rodadura se cargue, el compuesto y la carcasa deberían mantener la conducción estable en la calle. Con características destinadas a dar integridad a los bloques laterales, el K60 Ranger debería estar en casa en single track o carretera.</p>
<p><strong>USO RECOMENDADO:</strong></p>
<ul>
	<li>30 % carretera y caminos pavimentados</li>
	<li>70 % caminos de grava/forestales y senderos sin asfaltar</li>
</ul>
","
Ofreciendo el siguiente nivel

Un neumático digno de estar al lado del legendario K60 Scout, el K60 Ranger está diseñado y desarrollado para ser el primo off-road de la familia K60. No se trata de un Scout con una banda de rodadura diferente. Heidenau empezó desde cero con una carcasa y un compuesto totalmente nuevos para maximizar el rendimiento fuera de la carretera.

Diseño de la banda de rodadura

El nuevo diseño de la banda de rodadura del K60 Ranger tiene en mente la suciedad y las motos grandes. Mientras que el diseño de bloque abierto debería evitar que la banda de rodadura se cargue, el compuesto y la carcasa deberían mantener la conducción estable en la calle. Con características destinadas a dar integridad a los bloques laterales, el K60 Ranger debería estar en casa en single track o carretera.

USO RECOMENDADO:

	30 % carretera y caminos pavimentados
	70 % caminos de grava/forestales y senderos sin asfaltar

",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE TR ON/OFF,50700,5120,650,650,120,70,120,Trail on-off,,19,Correa X-Ply,Neumáticos de motocicleta y scooter,,60,R < 170 km/h,,K60 RANGER,Delantero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9006459-1.jpg?context=bWFzdGVyfHJvb3R8ODIxODJ8aW1hZ2UvanBlZ3xhREpqTDJnNVpDOHlPVGN6TnpRek1UTXdNakUzTkM4NE1EQlhlRGd3TUVoZk9UQXdOalExT1MweExtcHdad3w2MjcxY2VjY2RmMzQyMjI4YzllMzZlMGQyYWM1MTczOWQxZDIyYmEwZWVlNzNmODU2NGM0MGVhMjRkZjdkZGYx,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006462,,11140104,HEIDENAU,HEIDE TIRE K60 RANGER 170/60 B 17,Neumático HEIDENAU K60 RANGER 170/60 B 17 M/C 72R TL,287.98,238.00,147.56,4027694141044,1,4011400000,0,1,"<p><strong>Ofreciendo el siguiente nivel</strong></p>
<p>Un neumático digno de estar al lado del legendario K60 Scout, el K60 Ranger está diseñado y desarrollado para ser el primo off-road de la familia K60. No se trata de un Scout con una banda de rodadura diferente. Heidenau empezó desde cero con una carcasa y un compuesto totalmente nuevos para maximizar el rendimiento fuera de la carretera.</p>
<p><strong>Diseño de la banda de rodadura</strong></p>
<p>El nuevo diseño de la banda de rodadura del K60 Ranger tiene en mente la suciedad y las motos grandes. Mientras que el diseño de bloque abierto debería evitar que la banda de rodadura se cargue, el compuesto y la carcasa deberían mantener la conducción estable en la calle. Con características destinadas a dar integridad a los bloques laterales, el K60 Ranger debería estar en casa en single track o carretera.</p>
<p><strong>USO RECOMENDADO:</strong></p>
<ul>
	<li>30 % carretera y caminos pavimentados</li>
	<li>70 % caminos de grava/forestales y senderos sin asfaltar</li>
</ul>
","
Ofreciendo el siguiente nivel

Un neumático digno de estar al lado del legendario K60 Scout, el K60 Ranger está diseñado y desarrollado para ser el primo off-road de la familia K60. No se trata de un Scout con una banda de rodadura diferente. Heidenau empezó desde cero con una carcasa y un compuesto totalmente nuevos para maximizar el rendimiento fuera de la carretera.

Diseño de la banda de rodadura

El nuevo diseño de la banda de rodadura del K60 Ranger tiene en mente la suciedad y las motos grandes. Mientras que el diseño de bloque abierto debería evitar que la banda de rodadura se cargue, el compuesto y la carcasa deberían mantener la conducción estable en la calle. Con características destinadas a dar integridad a los bloques laterales, el K60 Ranger debería estar en casa en single track o carretera.

USO RECOMENDADO:

	30 % carretera y caminos pavimentados
	70 % caminos de grava/forestales y senderos sin asfaltar

",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE TR ON/OFF,67473,8250,630,630,170,60,170,Trail on-off,,17,Correa X-Ply,Neumáticos de motocicleta y scooter,,72,R < 170 km/h,,K60 RANGER,Trasero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9006462-1.jpg?context=bWFzdGVyfHJvb3R8ODIxODJ8aW1hZ2UvanBlZ3xhR0pqTDJobU5DOHlPVGN6TnpRek1qUTRNVGd5TWk4NE1EQlhlRGd3TUVoZk9UQXdOalEyTWkweExtcHdad3w0ODJhOGM1ZGJhYTJiYzk3YjdjNmE2YTYwMWMxZTU1MTI3YWNkYzVmNDRmMWY4YjIwMDMwNGNiYmFjNjgxYTY0,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006419,,11160437,HEIDENAU,HEIDE TIRE K60 130/80-17,Neumático HEIDENAU K60 130/80-17 M/C 69T TT,199.65,165.00,102.30,4027694164371,0,4011400000,0,1,"<p><strong>Todo gira en torno al caucho</strong></p>
<p>Heidenau ha desarrollado un gran compuesto con un alto contenido de caucho natural. Esto hace que el neumático sea resistente y dure muchos kilómetros.</p>
<p><strong>Diseño de la banda de rodadura</strong></p>
<p>El patrón de bloques interrumpidos del K60 hace que el neumático sea respetable fuera de la carretera y suave en la calle.</p>
<p><strong>NEUMÁTICOS DE INVIERNO CON COMPUESTO DE SILICE</strong></p>
<p>Para que llegues seguro a tu destino incluso en la estación fría, hemos desarrollado una combinación de compuesto y banda de rodadura compatible con el invierno para motos.</p>
<p>La base para ello es una banda de rodadura con un alto índice negativo, ya que la capacidad de penetrar en la nieve es un aspecto importante. Para tener suficiente agarre, incluso en superficies frías y mojadas, no basta con la banda de rodadura, sino que el compuesto también tiene que ser el adecuado. Los compuestos de los neumáticos estándar están diseñados para su uso de primavera a otoño y se endurecen a bajas temperaturas. En consecuencia, un neumático estándar sólo puede conseguir un agarre reducido.</p>
<p>Para eliminar este problema, Heidenau ha desarrollado un compuesto de sílice especialmente adaptado para motos. Está formulado especialmente para temperaturas inferiores a 6 grados centígrados, por lo que proporciona un agarre excelente y una adherencia excepcional sobre mojado en carreteras frías. La combinación del compuesto de invierno y la banda de rodadura es la base de los neumáticos de invierno, que te llevarán con seguridad a tu destino incluso en las peores condiciones meteorológicas</p>","
Todo gira en torno al caucho

Heidenau ha desarrollado un gran compuesto con un alto contenido de caucho natural. Esto hace que el neumático sea resistente y dure muchos kilómetros.

Diseño de la banda de rodadura

El patrón de bloques interrumpidos del K60 hace que el neumático sea respetable fuera de la carretera y suave en la calle.

NEUMÁTICOS DE INVIERNO CON COMPUESTO DE SILICE

Para que llegues seguro a tu destino incluso en la estación fría, hemos desarrollado una combinación de compuesto y banda de rodadura compatible con el invierno para motos.

La base para ello es una banda de rodadura con un alto índice negativo, ya que la capacidad de penetrar en la nieve es un aspecto importante. Para tener suficiente agarre, incluso en superficies frías y mojadas, no basta con la banda de rodadura, sino que el compuesto también tiene que ser el adecuado. Los compuestos de los neumáticos estándar están diseñados para su uso de primavera a otoño y se endurecen a bajas temperaturas. En consecuencia, un neumático estándar sólo puede conseguir un agarre reducido.

Para eliminar este problema, Heidenau ha desarrollado un compuesto de sílice especialmente adaptado para motos. Está formulado especialmente para temperaturas inferiores a 6 grados centígrados, por lo que proporciona un agarre excelente y una adherencia excepcional sobre mojado en carreteras frías. La combinación del compuesto de invierno y la banda de rodadura es la base de los neumáticos de invierno, que te llevarán con seguridad a tu destino incluso en las peores condiciones meteorológicas",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE TR ON/OFF,58357,5550,670,670,130,80,130,Clásico/Urbano (diagonal y cruzado),,17,X-Ply,Neumáticos de motocicleta y scooter,,69,T < 190 km/h,,K60,Trasero,TT - Para cámara,https://api.mybihr.com/medias/800Wx800H-9006419-1.jpg?context=bWFzdGVyfHJvb3R8NzczNDd8aW1hZ2UvanBlZ3xhR0psTDJoaFlpOHlPVGN6TnpReU9ERTFOalEwTmk4NE1EQlhlRGd3TUVoZk9UQXdOalF4T1MweExtcHdad3xhY2ZlMjM1YWY2MDExOGNlOWJkNTVkNTMwNDMxNmIwMWM5ZDBlMmM2NmFmYWY2Njg5YWMzZTk2ZmI3ZTI1YTkw,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006466,,11140089,HEIDENAU,HEIDE TIRE K60 SCOUT 140/80-18,Neumático HEIDENAU K60 SCOUT 140/80-18 M/C 70T TT,239.58,198.00,122.76,4027694140894,3,4011400000,0,1,"<p><strong>Durabilidad, se trata del caucho</strong></p>
<p>El compuesto de Heidenau utiliza un alto contenido de caucho natural, y hay mucho en él. Este compuesto naturalmente resistente, combinado con la robusta construcción Belted, hace que sea uno de los neumáticos más fiables y duraderos disponibles para los viajeros de larga distancia.</p>
<p><strong>Diseño de la banda de rodadura</strong></p>
<p>La pregunta más frecuente, ¿por qué los diferentes tamaños tienen un aspecto diferente? Un nuevo compuesto creó nuevos retos en el diseño. Heidenau aprovechó la oportunidad de crear el Scout para adaptar el diseño a la aplicación. Incorporando los comentarios de los clientes y los innumerables kilómetros de pruebas, esto dio como resultado neumáticos con un aspecto diferente para las diferentes motos, pero asegurando el mejor rendimiento.</p>
<p><strong>USO RECOMENDADO:</strong></p>
<ul>
	<li>60 % carretera y caminos pavimentados</li>
	<li>40 % caminos de grava/forestales y senderos sin asfaltar</li>
</ul>

<p><strong>DISEÑO DE PERFIL K60 Scout:</strong></p>

<p>Debido a las características específicas de cada vehículo, el diseño de la banda de rodadura del K60 Scout varía en las dimensiones de cada neumático. Puedes encontrar un resumen completo de las modificaciones aquí:</p>","
Durabilidad, se trata del caucho

El compuesto de Heidenau utiliza un alto contenido de caucho natural, y hay mucho en él. Este compuesto naturalmente resistente, combinado con la robusta construcción Belted, hace que sea uno de los neumáticos más fiables y duraderos disponibles para los viajeros de larga distancia.

Diseño de la banda de rodadura

La pregunta más frecuente, ¿por qué los diferentes tamaños tienen un aspecto diferente? Un nuevo compuesto creó nuevos retos en el diseño. Heidenau aprovechó la oportunidad de crear el Scout para adaptar el diseño a la aplicación. Incorporando los comentarios de los clientes y los innumerables kilómetros de pruebas, esto dio como resultado neumáticos con un aspecto diferente para las diferentes motos, pero asegurando el mejor rendimiento.

USO RECOMENDADO:

	60 % carretera y caminos pavimentados
	40 % caminos de grava/forestales y senderos sin asfaltar



DISEÑO DE PERFIL K60 Scout:


Debido a las características específicas de cada vehículo, el diseño de la banda de rodadura del K60 Scout varía en las dimensiones de cada neumático. Puedes encontrar un resumen completo de las modificaciones aquí:",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE TR ON/OFF,64736,7800,680,680,140,80,140,Trail on-off,,18,X-Ply,Neumáticos de motocicleta y scooter,,70,T < 190 km/h,,K60 SCOUT,Trasero,TT - Para cámara,https://api.mybihr.com/medias/800Wx800H-9006466-1.jpg?context=bWFzdGVyfHJvb3R8NzQzNTd8aW1hZ2UvanBlZ3xhREZpTDJneU5DODFNVFEwT1RRd056UXdOakV4TUM4NE1EQlhlRGd3TUVoZk9UQXdOalEyTmkweExtcHdad3xhNjY2YjdiNTMwNGYwYzVmMmI2MDg3MTc1MDQ2NzBmODM0YTEzOTJmYWRhNGNjODVkMTY2MDdhYzIyMmEyYTg5,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006464,,11140053,HEIDENAU,HEIDE TIRE K60 SCOUT 100/90-18,Neumático HEIDENAU K60 SCOUT 100/90-18 M/C 56H TL,204.49,169.00,104.78,4027694140535,0,4011400000,0,1,"<p><strong>Durabilidad, se trata del caucho</strong></p>
<p>El compuesto de Heidenau utiliza un alto contenido de caucho natural, y hay mucho en él. Este compuesto naturalmente resistente, combinado con la robusta construcción Belted, hace que sea uno de los neumáticos más fiables y duraderos disponibles para los viajeros de larga distancia.</p>
<p><strong>Diseño de la banda de rodadura</strong></p>
<p>La pregunta más frecuente, ¿por qué los diferentes tamaños tienen un aspecto diferente? Un nuevo compuesto creó nuevos retos en el diseño. Heidenau aprovechó la oportunidad de crear el Scout para adaptar el diseño a la aplicación. Incorporando los comentarios de los clientes y los innumerables kilómetros de pruebas, esto dio como resultado neumáticos con un aspecto diferente para las diferentes motos, pero asegurando el mejor rendimiento.</p>
<p><strong>USO RECOMENDADO:</strong></p>
<ul>
	<li>60 % carretera y caminos pavimentados</li>
	<li>40 % caminos de grava/forestales y senderos sin asfaltar</li>
</ul>

<p><strong>DISEÑO DE PERFIL K60 Scout:</strong></p>

<p>Debido a las características específicas de cada vehículo, el diseño de la banda de rodadura del K60 Scout varía en las dimensiones de cada neumático. Puedes encontrar un resumen completo de las modificaciones aquí:</p>","
Durabilidad, se trata del caucho

El compuesto de Heidenau utiliza un alto contenido de caucho natural, y hay mucho en él. Este compuesto naturalmente resistente, combinado con la robusta construcción Belted, hace que sea uno de los neumáticos más fiables y duraderos disponibles para los viajeros de larga distancia.

Diseño de la banda de rodadura

La pregunta más frecuente, ¿por qué los diferentes tamaños tienen un aspecto diferente? Un nuevo compuesto creó nuevos retos en el diseño. Heidenau aprovechó la oportunidad de crear el Scout para adaptar el diseño a la aplicación. Incorporando los comentarios de los clientes y los innumerables kilómetros de pruebas, esto dio como resultado neumáticos con un aspecto diferente para las diferentes motos, pero asegurando el mejor rendimiento.

USO RECOMENDADO:

	60 % carretera y caminos pavimentados
	40 % caminos de grava/forestales y senderos sin asfaltar



DISEÑO DE PERFIL K60 Scout:


Debido a las características específicas de cada vehículo, el diseño de la banda de rodadura del K60 Scout varía en las dimensiones de cada neumático. Puedes encontrar un resumen completo de las modificaciones aquí:",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE TR ON/OFF,45056,5020,640,640,110,90,100,Trail on-off,,18,X-Ply,Neumáticos de motocicleta y scooter,,56,H < 210 km/h,,K60 SCOUT,Delantero/trasero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9006464-1.jpg?context=bWFzdGVyfHJvb3R8NzQzNTd8aW1hZ2UvanBlZ3xhR0U1TDJnek1TODFNVFEwT1RRd056QXhNamc1TkM4NE1EQlhlRGd3TUVoZk9UQXdOalEyTkMweExtcHdad3w1N2NhZmRlZGVmZDU1OTczNTIzYmU4M2U3ZmUyOGQwMTI5OTk2ZWRiOGE5MDlmZWQ5NThiYzgzZjc0ZDE1ZDdi,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006442,,11140079,HEIDENAU,HEIDE TIRE K67 2.75-21,Neumático HEIDENAU K67 2.75-21 M/C 45P TT,101.64,84.00,52.08,4027694140795,0,4011400000,0,1,"<p><strong>La banda de rodadura y la goma</strong></p>
<p>Un neum&aacute;tico de trial cl&aacute;sico, ideal para ir por la calle, superficies rocosas, arrastrarse por una colina. El compuesto no es tan blando como el de algunos neum&aacute;ticos de competici&oacute;n, pero lo suficientemente blando como para adherirse al asfalto y no agrietarse.</p>
<p><strong>Aplicaciones</strong></p>
<p>Si tienes una scrambler de &eacute;poca, una moto de trial, o buscas salir a los senderos con una moto moderna.</p>","
La banda de rodadura y la goma

Un neumático de trial clásico, ideal para ir por la calle, superficies rocosas, arrastrarse por una colina. El compuesto no es tan blando como el de algunos neumáticos de competición, pero lo suficientemente blando como para adherirse al asfalto y no agrietarse.

Aplicaciones

Si tienes una scrambler de época, una moto de trial, o buscas salir a los senderos con una moto moderna.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE TR ON/OFF,38088,2930,690,690,80,,2.75,Trail on-off,,21,X-Ply,Neumáticos de motocicleta y scooter,,45,P < 150 km/h,,K67,Delantero,TT - Para cámara,https://api.mybihr.com/medias/800Wx800H-9006442-1.jpg?context=bWFzdGVyfHJvb3R8NDkxMjB8aW1hZ2UvanBlZ3xhRE5tTDJoaVppOHlPVGN6TnpRek5qZ3dOekU1T0M4NE1EQlhlRGd3TUVoZk9UQXdOalEwTWkweExtcHdad3w2ODM2ZTU0NDUxMmQzYjk5YjgxMDdkODY4ZjhiNzQ0Nzc1Y2UyOWUwMWZiNTMzYzliYzYwNDhiOTU5NjUyNTRk,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006425,,11140081,HEIDENAU,HEIDE TIRE K60 FRONT 90/90-21,Neumático HEIDENAU K60 FRONT 90/90-21 M/C 54T TT,122.82,101.50,62.93,4027694140818,0,4011400000,0,1,"<p><strong>Todo gira en torno al caucho</strong></p>
<p>Heidenau ha desarrollado un gran compuesto con un alto contenido de caucho natural. Esto hace que el neum&aacute;tico sea resistente y dure muchos kil&oacute;metros.</p>
<p><strong>Dise&ntilde;o de la banda de rodadura</strong></p>
<p>El patr&oacute;n de bloques interrumpidos del K60 hace que el neum&aacute;tico sea respetable fuera de la carretera y suave en la calle.</p>","
Todo gira en torno al caucho

Heidenau ha desarrollado un gran compuesto con un alto contenido de caucho natural. Esto hace que el neumático sea resistente y dure muchos kilómetros.

Diseño de la banda de rodadura

El patrón de bloques interrumpidos del K60 hace que el neumático sea respetable fuera de la carretera y suave en la calle.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE TR ON/OFF,44100,3660,700,700,90,90,90,Trail on-off,,21,X-Ply,Neumáticos de motocicleta y scooter,,54,T < 190 km/h,,K60,Delantero,TT - Para cámara,https://api.mybihr.com/medias/800Wx800H-9006425-1.jpg?context=bWFzdGVyfHJvb3R8NzczNDd8aW1hZ2UvanBlZ3xhR0pqTDJoaE5TOHpNVFUxTlRRek16QXdOVEE0Tmk4NE1EQlhlRGd3TUVoZk9UQXdOalF5TlMweExtcHdad3wxYzgxMWRkZWQ2MmI0YWQ4ODFlZjVmNzM3ZGQxZWY4YmQ1ODVlZDhmMWJlZjAxOTY2ZjIwNmMxZjY5MTViYzVl,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
